Time,Target,Measured,Error
0,20.00,-0.00,20.00
1,20.00,0.88,17.06
2,20.00,2.61,13.37
3,20.00,4.48,11.16
4,20.00,5.57,11.90
5,20.00,6.00,13.00
6,20.00,5.85,14.47
7,20.00,5.09,16.68
8,20.00,3.45,20.37
9,20.00,0.21,27.37
10,20.00,-4.16,34.37
11,20.00,-9.21,41.00
12,20.00,-15.73,50.94
13,20.00,-20.08,50.21
14,20.00,-22.67,48.73
15,20.00,-23.28,44.68
16,20.00,-20.49,34.00
17,20.00,-17.11,29.21
18,20.00,-12.20,20.74
19,20.00,-6.00,11.53
20,20.00,0.11,5.63
21,20.00,5.83,0.84
22,20.00,12.04,-6.52
24,20.00,17.49,-10.21
25,20.00,23.85,-18.68
26,20.00,30.73,-26.79
27,20.00,36.32,-29.36
28,20.00,43.77,-41.15
29,20.00,47.55,-36.36
30,20.00,50.74,-38.21
31,20.00,49.78,-27.52
32,20.00,47.66,-22.73
33,20.00,43.75,-14.63
34,20.00,38.03,-4.68
35,20.00,31.71,3.05
36,20.00,25.40,9.32
37,20.00,19.99,12.63
38,20.00,14.66,17.79
39,20.00,10.15,20.37
40,20.00,6.44,22.21
41,20.00,3.74,22.58
42,20.00,3.50,17.05
43,20.00,3.55,16.32
44,20.00,5.25,10.79
45,20.00,8.43,4.16
46,20.00,11.87,0.11
47,20.00,16.49,-7.26
49,20.00,20.27,-9.10
50,20.00,24.58,-14.63
51,20.00,28.48,-17.58
52,20.00,30.10,-13.89
53,20.00,30.91,-12.79
54,20.00,30.48,-9.47
55,20.00,29.62,-7.63
56,20.00,27.59,-2.84
57,20.00,24.84,1.58
58,20.00,23.35,0.11
59,20.00,20.44,6.37
60,20.00,18.84,4.90
61,20.00,16.94,7.47
62,20.00,15.18,8.95
63,20.00,14.38,7.47
64,20.00,13.38,8.95
65,20.00,13.46,6.37
66,20.00,13.73,5.63
67,20.00,14.92,2.32
68,20.00,16.41,0.11
69,20.00,17.79,-1.00
70,20.00,19.74,-4.31
71,20.00,20.78,-3.21
72,20.00,22.40,-6.16
73,20.00,23.30,-5.42
75,20.00,23.61,-4.31
76,20.00,24.37,-6.16
77,20.00,23.69,-2.10
78,20.00,23.55,-3.21
79,20.00,22.45,0.11
80,20.00,20.69,3.42
81,20.00,18.79,5.63
82,20.00,17.69,4.90
83,20.00,17.02,4.53
84,20.00,16.00,6.37
85,20.00,15.73,4.90
86,20.00,16.21,2.69
87,20.00,16.76,1.95
88,20.00,17.81,-0.26
89,20.00,18.10,1.21
90,20.00,19.08,-1.37
91,20.00,20.32,-3.21
92,20.00,20.30,-0.26
93,20.00,20.95,-2.47
94,20.00,20.75,-0.26
95,20.00,21.60,-3.58
96,20.00,21.75,-2.10
97,20.00,20.75,1.58
98,20.00,20.71,-0.63
100,20.00,19.69,2.69
101,20.00,19.53,0.84
102,20.00,18.54,3.79
103,20.00,18.39,1.95
104,20.00,19.06,-0.63
105,20.00,18.98,1.21
106,20.00,18.92,1.21
107,20.00,18.99,0.84
108,20.00,18.93,1.21
109,20.00,18.67,1.95
110,20.00,18.26,2.69
111,20.00,18.09,2.32
112,20.00,18.30,1.21
113,20.00,19.55,-2.47
114,20.00,20.10,-1.37
115,20.00,20.48,-1.37
116,20.00,21.08,-2.47
117,20.00,20.83,-0.26
118,20.00,20.99,-1.37
119,20.00,20.88,-0.63
120,20.00,20.37,0.84
121,20.00,19.78,1.58
122,20.00,18.82,3.42
123,20.00,18.48,2.32
125,20.00,18.68,0.84
126,20.00,18.82,0.84
127,20.00,19.26,-0.26
128,20.00,19.34,0.48
129,20.00,19.83,-1.00
130,20.00,19.63,0.84
131,20.00,20.70,-3.21
132,20.00,21.01,-1.74
133,20.00,21.01,-1.00
134,20.00,21.67,-3.21
135,20.00,21.47,-1.00
136,20.00,21.44,-1.37
137,20.00,20.97,0.11
138,20.00,20.10,1.95
139,20.00,20.26,-0.63
140,20.00,19.71,1.58
141,20.00,19.32,1.58
142,20.00,19.49,0.11
143,20.00,19.83,-0.63
144,20.00,20.18,-1.00
145,20.00,19.99,0.48
146,20.00,20.62,-2.10
147,20.00,19.85,1.95
148,20.00,20.30,-1.37
149,20.00,20.40,-0.63
151,20.00,19.81,1.58
152,20.00,20.16,-1.00
153,20.00,20.30,-0.63
154,20.00,20.73,-1.73
155,20.00,21.14,-2.10
156,20.00,20.11,2.32
157,20.00,20.15,-0.26
158,20.00,19.85,0.84
159,20.00,20.09,-0.63
160,20.00,19.92,0.48
161,20.00,20.57,-2.10
162,20.00,20.92,-1.74
163,20.00,20.94,-1.00
164,20.00,21.07,-1.37
165,20.00,19.72,3.42
166,20.00,19.88,-0.26
167,20.00,19.78,0.48
168,20.00,19.37,1.58
169,20.00,19.97,-1.37
170,20.00,19.61,1.21
171,20.00,20.47,-2.47
172,20.00,20.52,-0.63
173,20.00,20.55,-0.63
174,20.00,20.91,-1.73
176,20.00,20.38,0.84
177,20.00,20.57,-1.00
178,20.00,19.81,1.95
179,20.00,20.39,-1.74
180,20.00,21.01,-2.47
181,20.00,20.79,-0.26
182,20.00,21.07,-1.73
183,20.00,20.72,0.11
184,20.00,20.36,0.48
185,20.00,20.33,-0.26
186,20.00,19.54,2.32
187,20.00,19.64,0.11
188,20.00,19.61,0.48
189,20.00,19.14,1.95
190,20.00,19.37,0.11
191,20.00,19.41,0.47
192,20.00,19.67,-0.26
193,20.00,19.74,0.11
194,20.00,20.00,-0.63
195,20.00,20.41,-1.37
196,20.00,20.26,0.11
197,20.00,20.48,-1.00
198,20.00,20.30,0.11
199,20.00,20.84,-2.10
200,20.00,20.67,-0.26
202,20.00,20.99,-1.74
203,20.00,21.77,-3.58
204,20.00,20.98,0.84
205,20.00,20.99,-1.00
206,20.00,20.77,-0.26
207,20.00,20.51,0.11
208,20.00,20.32,0.11
209,20.00,19.97,0.84
210,20.00,19.95,0.11
211,20.00,19.60,1.21
212,20.00,20.13,-1.37
213,20.00,20.17,-0.26
214,20.00,19.20,3.05
215,20.00,19.30,0.48
216,20.00,19.37,0.47
217,20.00,19.86,-1.00
218,20.00,20.09,-0.63
219,20.00,20.69,-2.10
220,20.00,21.45,-3.21
221,20.00,20.87,0.48
222,20.00,20.47,0.48
223,20.00,19.85,1.58
224,20.00,19.64,0.84
225,20.00,19.17,1.95
227,20.00,18.72,2.32
228,20.00,19.07,0.11
229,20.00,19.10,0.84
230,20.00,19.56,-0.63
231,20.00,19.88,-0.63
232,20.00,19.55,1.21
233,20.00,19.76,-0.26
234,20.00,19.69,0.48
235,20.00,19.53,0.84
236,20.00,19.31,1.21
237,20.00,19.37,0.47
238,20.00,19.64,-0.26
239,20.00,19.27,1.58
240,20.00,19.79,-1.00
241,20.00,19.38,1.58
242,20.00,19.20,1.21
243,20.00,19.08,1.21
244,20.00,18.55,2.69
245,20.00,19.17,-0.63
246,20.00,19.39,0.11
247,20.00,19.87,-1.00
248,20.00,20.65,-2.47
249,20.00,20.20,0.84
250,20.00,19.78,1.21
252,20.00,19.15,2.32
253,20.00,18.82,1.95
254,20.00,18.59,1.95
255,20.00,17.99,3.42
256,20.00,17.90,2.32
257,20.00,17.61,3.05
258,20.00,18.18,0.48
259,20.00,18.59,0.48
260,20.00,18.98,0.11
261,20.00,19.81,-1.74
262,20.00,20.05,-0.63
263,20.00,20.67,-2.10
264,20.00,20.55,-0.26
265,20.00,20.79,-1.37
266,20.00,20.96,-1.37
267,20.00,20.20,1.58
268,20.00,20.88,-2.47
269,20.00,19.81,2.69
270,20.00,19.95,-0.26
271,20.00,19.93,0.11
272,20.00,19.81,0.48
273,20.00,19.39,1.58
274,20.00,19.65,-0.26
275,20.00,20.17,-1.37
276,20.00,20.31,-0.63
278,20.00,19.85,1.21
279,20.00,20.19,-1.00
280,20.00,19.88,0.84
281,20.00,19.44,1.58
282,20.00,18.81,2.69
283,20.00,19.46,-1.00
284,20.00,19.59,0.11
285,20.00,19.68,0.11
286,20.00,20.85,-3.58
287,20.00,20.56,0.11
288,20.00,21.47,-3.58
289,20.00,21.77,-2.47
290,20.00,21.21,0.11
291,20.00,20.70,0.48
292,20.00,20.68,-0.63
293,20.00,20.00,1.58
294,20.00,20.52,-1.74
295,20.00,20.55,-0.63
296,20.00,20.58,-0.63
297,20.00,20.04,1.21
298,20.00,20.66,-2.10
299,20.00,19.99,1.58
300,20.00,19.85,0.48
301,20.00,20.41,-1.74
303,20.00,20.04,0.84
304,20.00,20.55,-1.74
305,20.00,20.79,-1.37
306,20.00,20.96,-1.37
307,20.00,21.53,-2.84
308,20.00,20.82,0.84
309,20.00,20.54,0.11
310,20.00,19.90,1.58
311,20.00,19.46,1.58
312,20.00,20.03,-1.37
313,20.00,20.10,-0.26
314,20.00,20.92,-2.84
315,20.00,20.72,-0.26
