Time,Target,Measured,Error
0,20.00,0.00,20.00
1,20.00,0.33,16.69
2,20.00,1.07,12.26
3,20.00,2.18,7.84
4,20.00,3.21,7.47
5,20.00,4.33,5.63
6,20.00,5.19,7.11
7,20.00,5.77,8.95
8,20.00,6.41,7.84
9,20.00,6.54,12.26
10,20.00,6.15,17.42
11,20.00,5.46,20.74
12,20.00,4.32,25.89
13,20.00,2.56,33.26
14,20.00,0.47,38.42
15,20.00,-2.27,46.89
16,20.00,-4.95,49.10
17,20.00,-7.44,49.84
18,20.00,-9.17,44.68
19,20.00,-9.80,35.47
20,20.00,-9.63,28.10
21,20.00,-8.59,19.26
22,20.00,-6.88,11.53
24,20.00,-4.72,5.26
25,20.00,-1.97,-2.84
26,20.00,1.18,-9.47
27,20.00,4.38,-13.16
28,20.00,8.36,-24.21
29,20.00,12.09,-25.68
30,20.00,16.44,-35.63
31,20.00,20.62,-38.21
32,20.00,23.57,-30.10
33,20.00,26.15,-29.36
34,20.00,27.11,-15.73
35,20.00,27.64,-12.42
36,20.00,27.05,-1.74
37,20.00,26.04,3.05
38,20.00,24.69,7.47
39,20.00,22.77,14.47
40,20.00,20.90,15.95
41,20.00,18.70,21.11
42,20.00,16.72,21.11
43,20.00,15.05,20.00
44,20.00,13.87,16.68
45,20.00,13.41,10.79
46,20.00,13.10,9.69
47,20.00,13.45,3.42
49,20.00,14.20,-1.00
50,20.00,15.54,-7.63
51,20.00,16.90,-9.10
52,20.00,18.60,-13.89
53,20.00,20.05,-13.16
54,20.00,21.14,-10.94
55,20.00,22.34,-13.16
56,20.00,22.87,-7.63
57,20.00,23.50,-9.10
58,20.00,23.76,-6.16
59,20.00,23.30,0.84
60,20.00,22.89,0.84
61,20.00,22.07,5.26
62,20.00,21.15,7.11
63,20.00,20.18,8.58
64,20.00,19.16,10.05
65,20.00,18.38,8.58
66,20.00,17.80,7.47
67,20.00,17.64,3.79
68,20.00,17.50,3.79
69,20.00,17.96,-2.10
70,20.00,18.26,-1.00
71,20.00,18.83,-3.95
72,20.00,19.49,-5.42
73,20.00,19.97,-4.31
75,20.00,20.59,-6.16
76,20.00,20.96,-4.31
77,20.00,21.55,-6.89
78,20.00,21.90,-5.05
79,20.00,21.85,-1.37
80,20.00,21.54,1.21
81,20.00,21.16,2.32
82,20.00,20.85,1.95
83,20.00,20.31,4.53
84,20.00,19.94,3.42
85,20.00,19.49,4.53
86,20.00,19.09,4.53
87,20.00,18.95,2.32
88,20.00,18.78,2.69
89,20.00,18.97,-0.63
90,20.00,19.10,-0.26
91,20.00,19.44,-2.47
92,20.00,19.92,-4.31
93,20.00,20.07,-1.37
94,20.00,20.46,-3.95
95,20.00,20.58,-1.74
96,20.00,20.96,-4.31
97,20.00,21.14,-2.84
98,20.00,21.17,-1.37
100,20.00,21.15,-1.00
101,20.00,20.88,1.58
102,20.00,20.78,0.11
103,20.00,20.51,1.95
104,20.00,20.48,-0.26
105,20.00,20.35,0.84
106,20.00,20.27,0.48
107,20.00,20.30,-0.63
108,20.00,20.08,1.95
109,20.00,20.02,0.48
110,20.00,19.75,2.69
111,20.00,19.88,-1.00
112,20.00,19.88,0.11
113,20.00,19.99,-1.00
114,20.00,20.20,-2.10
115,20.00,20.17,0.11
116,20.00,20.44,-2.84
117,20.00,20.60,-2.10
118,20.00,20.64,-1.00
119,20.00,20.64,-0.63
