Time,Target,Measured,Error
0,20.00,0.00,20.00
1,20.00,2.94,17.06
2,20.00,9.21,10.79
3,20.00,8.10,11.90
4,20.00,11.05,8.95
5,20.00,9.58,10.42
6,20.00,11.79,8.21
7,20.00,13.63,6.37
8,20.00,13.63,6.37
9,20.00,8.47,11.53
10,20.00,2.58,17.42
11,20.00,1.11,18.89
12,20.00,-5.53,25.53
13,20.00,-8.84,28.84
14,20.00,-14.74,34.74
15,20.00,-21.00,41.00
16,20.00,-23.95,43.95
17,20.00,-24.31,44.31
18,20.00,-21.00,41.00
19,20.00,-15.84,35.84
20,20.00,-9.58,29.58
21,20.00,-2.95,22.95
22,20.00,3.32,16.68
24,20.00,8.10,11.90
25,20.00,13.63,6.37
26,20.00,19.52,0.48
27,20.00,23.58,-3.58
28,20.00,31.31,-11.31
29,20.00,32.42,-12.42
30,20.00,40.52,-20.52
31,20.00,42.36,-22.36
32,20.00,50.47,-30.47
33,20.00,50.84,-30.84
34,20.00,47.15,-27.15
35,20.00,45.68,-25.68
36,20.00,36.84,-16.84
37,20.00,35.37,-15.37
38,20.00,32.79,-12.79
39,20.00,25.42,-5.42
40,20.00,24.68,-4.68
41,20.00,16.21,3.79
42,20.00,11.79,8.21
43,20.00,8.47,11.53
44,20.00,3.68,16.32
45,20.00,0.00,20.00
46,20.00,-2.95,22.95
47,20.00,-1.11,21.11
49,20.00,4.42,15.58
50,20.00,4.42,15.58
51,20.00,9.58,10.42
52,20.00,9.95,10.05
53,20.00,15.10,4.90
54,20.00,16.58,3.42
55,20.00,22.47,-2.47
56,20.00,23.58,-3.58
57,20.00,32.42,-12.42
58,20.00,33.16,-13.16
59,20.00,32.79,-12.79
60,20.00,38.31,-18.31
61,20.00,30.94,-10.94
62,20.00,33.89,-13.89
63,20.00,28.73,-8.73
64,20.00,22.10,-2.10
65,20.00,23.58,-3.58
66,20.00,22.10,-2.10
67,20.00,25.05,-5.05
68,20.00,22.10,-2.10
69,20.00,17.68,2.32
70,20.00,16.95,3.05
71,20.00,12.16,7.84
72,20.00,12.53,7.47
73,20.00,11.05,8.95
75,20.00,11.79,8.21
76,20.00,16.58,3.42
77,20.00,15.47,4.53
78,20.00,18.05,1.95
79,20.00,19.52,0.48
80,20.00,20.26,-0.26
81,20.00,18.79,1.21
82,20.00,18.05,1.95
83,20.00,19.52,0.48
84,20.00,19.89,0.11
85,20.00,22.47,-2.47
86,20.00,23.95,-3.95
87,20.00,27.63,-7.63
88,20.00,27.63,-7.63
89,20.00,25.79,-5.79
90,20.00,22.84,-2.84
91,20.00,22.84,-2.84
92,20.00,20.26,-0.26
93,20.00,18.79,1.21
94,20.00,16.58,3.42
95,20.00,20.63,-0.63
96,20.00,19.89,0.11
97,20.00,21.37,-1.37
98,20.00,21.00,-1.00
100,20.00,16.95,3.05
101,20.00,18.42,1.58
102,20.00,18.05,1.95
103,20.00,17.31,2.69
104,20.00,16.58,3.42
105,20.00,20.63,-0.63
106,20.00,22.84,-2.84
107,20.00,21.74,-1.74
108,20.00,23.21,-3.21
109,20.00,20.26,-0.26
110,20.00,19.52,0.48
111,20.00,19.52,0.48
112,20.00,17.68,2.32
113,20.00,19.89,0.11
114,20.00,19.52,0.48
115,20.00,24.31,-4.31
116,20.00,23.21,-3.21
117,20.00,23.95,-3.95
118,20.00,23.58,-3.58
119,20.00,19.52,0.48
120,20.00,20.26,-0.26
121,20.00,17.31,2.69
122,20.00,19.52,0.48
123,20.00,23.58,-3.58
125,20.00,21.74,-1.74
126,20.00,23.58,-3.58
127,20.00,21.74,-1.74
128,20.00,21.74,-1.74
129,20.00,15.84,4.16
130,20.00,18.42,1.58
131,20.00,19.52,0.48
132,20.00,16.58,3.42
133,20.00,21.00,-1.00
134,20.00,21.74,-1.74
135,20.00,23.58,-3.58
136,20.00,23.58,-3.58
137,20.00,18.79,1.21
138,20.00,17.68,2.32
139,20.00,16.58,3.42
140,20.00,17.31,2.69
141,20.00,16.21,3.79
142,20.00,19.52,0.48
143,20.00,20.63,-0.63
144,20.00,22.10,-2.10
145,20.00,22.47,-2.47
146,20.00,21.74,-1.74
147,20.00,22.47,-2.47
148,20.00,20.63,-0.63
149,20.00,17.31,2.69
151,20.00,19.89,0.11
152,20.00,15.84,4.16
153,20.00,20.26,-0.26
154,20.00,22.10,-2.10
155,20.00,19.89,0.11
156,20.00,21.74,-1.74
157,20.00,16.58,3.42
158,20.00,18.79,1.21
159,20.00,18.05,1.95
160,20.00,17.68,2.32
161,20.00,18.79,1.21
162,20.00,18.42,1.58
163,20.00,22.10,-2.10
164,20.00,21.00,-1.00
165,20.00,21.37,-1.37
166,20.00,18.05,1.95
167,20.00,17.31,2.69
168,20.00,16.21,3.79
