Time,Target,Measured,Error
0,20.00,0.00,20.00
1,20.00,-0.07,20.07
2,20.00,0.01,19.99
3,20.00,0.36,19.64
4,20.00,1.00,19.00
5,20.00,2.40,17.60
6,20.00,4.33,15.67
7,20.00,7.11,12.89
8,20.00,10.42,9.58
9,20.00,14.23,5.77
10,20.00,18.11,1.89
12,20.00,22.13,-2.13
13,20.00,26.19,-6.19
14,20.00,30.05,-10.05
15,20.00,33.74,-13.74
16,20.00,37.34,-17.34
17,20.00,40.84,-20.84
18,20.00,44.09,-24.09
19,20.00,47.19,-27.19
20,20.00,50.09,-30.09
21,20.00,52.92,-32.92
22,20.00,55.57,-35.57
23,20.00,58.16,-38.16
24,20.00,59.94,-39.94
26,20.00,62.42,-42.42
27,20.00,64.65,-44.65
28,20.00,66.73,-46.73
29,20.00,68.82,-48.82
30,20.00,70.63,-50.63
31,20.00,72.60,-52.60
32,20.00,74.42,-54.42
33,20.00,76.24,-56.24
34,20.00,77.94,-57.94
35,20.00,79.76,-59.76
36,20.00,81.54,-61.54
37,20.00,83.43,-63.43
38,20.00,85.23,-65.23
40,20.00,86.79,-66.79
41,20.00,88.26,-68.26
42,20.00,89.40,-69.40
43,20.00,90.48,-70.48
44,20.00,91.36,-71.36
45,20.00,92.26,-72.26
46,20.00,92.90,-72.90
47,20.00,93.43,-73.43
48,20.00,93.92,-73.92
49,20.00,94.11,-74.11
50,20.00,93.39,-73.39
51,20.00,93.34,-73.34
52,20.00,93.13,-73.13
54,20.00,92.82,-72.82
55,20.00,92.40,-72.40
56,20.00,91.78,-71.78
57,20.00,91.43,-71.43
58,20.00,90.90,-70.90
59,20.00,90.40,-70.40
60,20.00,89.91,-69.91
61,20.00,89.53,-69.53
62,20.00,89.26,-69.26
63,20.00,88.92,-68.92
64,20.00,88.83,-68.83
65,20.00,88.80,-68.80
66,20.00,88.97,-68.97
68,20.00,88.97,-68.97
69,20.00,89.44,-69.44
70,20.00,89.79,-69.79
71,20.00,90.28,-70.28
72,20.00,90.73,-70.73
73,20.00,91.24,-71.24
74,20.00,91.65,-71.65
75,20.00,91.32,-71.32
76,20.00,91.84,-71.84
77,20.00,92.09,-72.09
78,20.00,92.24,-72.24
79,20.00,92.21,-72.21
81,20.00,92.03,-72.03
82,20.00,91.81,-71.81
83,20.00,91.63,-71.63
84,20.00,91.22,-71.22
85,20.00,90.90,-70.90
86,20.00,90.42,-70.42
87,20.00,90.03,-70.03
88,20.00,89.54,-69.54
89,20.00,89.20,-69.20
90,20.00,88.84,-68.84
91,20.00,88.53,-68.53
92,20.00,88.22,-68.22
93,20.00,88.16,-68.16
95,20.00,88.25,-68.25
96,20.00,88.36,-68.36
97,20.00,88.57,-68.57
98,20.00,88.97,-68.97
99,20.00,89.43,-69.43
100,20.00,89.89,-69.89
101,20.00,90.63,-70.63
102,20.00,90.29,-70.29
103,20.00,90.91,-70.91
104,20.00,91.39,-71.39
105,20.00,91.83,-71.83
106,20.00,92.01,-72.01
107,20.00,91.93,-71.93
109,20.00,91.96,-71.96
110,20.00,91.67,-71.67
111,20.00,91.22,-71.22
112,20.00,90.72,-70.72
113,20.00,90.05,-70.05
114,20.00,89.23,-69.23
115,20.00,88.39,-68.39
116,20.00,87.22,-67.22
117,20.00,86.32,-66.32
118,20.00,85.17,-65.17
119,20.00,83.95,-63.95
120,20.00,82.64,-62.64
121,20.00,81.40,-61.40
123,20.00,80.12,-60.12
124,20.00,78.74,-58.74
125,20.00,77.45,-57.45
126,20.00,75.90,-55.90
127,20.00,74.43,-54.43
128,20.00,72.58,-52.58
129,20.00,71.16,-51.16
130,20.00,69.85,-49.85
131,20.00,68.35,-48.35
132,20.00,66.89,-46.89
133,20.00,65.33,-45.33
134,20.00,63.96,-43.96
135,20.00,62.44,-42.44
137,20.00,60.97,-40.97
138,20.00,59.65,-39.65
139,20.00,58.31,-38.31
140,20.00,56.93,-36.93
141,20.00,55.55,-35.55
142,20.00,54.23,-34.23
143,20.00,52.93,-32.93
144,20.00,51.63,-31.63
145,20.00,50.49,-30.49
146,20.00,49.32,-29.32
147,20.00,48.06,-28.06
148,20.00,46.74,-26.74
149,20.00,45.70,-25.70
151,20.00,44.62,-24.62
152,20.00,43.50,-23.50
153,20.00,42.14,-22.14
154,20.00,41.35,-21.35
155,20.00,40.28,-20.28
156,20.00,39.35,-19.35
157,20.00,38.22,-18.22
158,20.00,37.36,-17.36
159,20.00,36.43,-16.43
160,20.00,35.57,-15.57
161,20.00,34.72,-14.72
162,20.00,33.74,-13.74
163,20.00,33.14,-13.14
165,20.00,32.14,-12.14
166,20.00,31.42,-11.42
167,20.00,30.60,-10.60
168,20.00,29.88,-9.88
169,20.00,29.07,-9.07
170,20.00,28.37,-8.37
171,20.00,27.63,-7.63
172,20.00,27.08,-7.08
173,20.00,26.36,-6.36
174,20.00,25.76,-5.76
175,20.00,25.35,-5.35
176,20.00,24.74,-4.74
177,20.00,24.15,-4.15
179,20.00,23.48,-3.48
180,20.00,22.99,-2.99
181,20.00,22.51,-2.51
182,20.00,22.07,-2.07
183,20.00,21.61,-1.61
184,20.00,21.05,-1.05
185,20.00,20.69,-0.69
186,20.00,20.26,-0.26
187,20.00,20.01,-0.01
188,20.00,19.61,0.39
189,20.00,19.40,0.60
190,20.00,19.17,0.83
191,20.00,18.96,1.04
193,20.00,18.67,1.33
194,20.00,18.44,1.56
195,20.00,18.23,1.77
196,20.00,17.90,2.10
197,20.00,17.79,2.21
198,20.00,17.57,2.43
199,20.00,17.35,2.65
200,20.00,17.14,2.86
201,20.00,17.07,2.93
202,20.00,16.97,3.03
203,20.00,16.87,3.13
204,20.00,16.64,3.36
205,20.00,16.76,3.24
207,20.00,16.79,3.21
208,20.00,16.89,3.11
209,20.00,16.91,3.09
210,20.00,16.82,3.18
211,20.00,16.96,3.04
212,20.00,16.86,3.14
213,20.00,16.82,3.18
214,20.00,16.81,3.19
215,20.00,16.80,3.20
216,20.00,16.83,3.17
217,20.00,16.82,3.18
218,20.00,16.92,3.08
219,20.00,16.94,3.06
221,20.00,17.20,2.80
222,20.00,17.23,2.77
223,20.00,17.35,2.65
224,20.00,17.54,2.46
225,20.00,17.75,2.25
226,20.00,17.75,2.25
227,20.00,17.69,2.31
228,20.00,17.91,2.09
229,20.00,17.79,2.21
230,20.00,17.83,2.17
231,20.00,18.01,1.99
232,20.00,18.17,1.83
233,20.00,18.13,1.87
235,20.00,18.38,1.62
236,20.00,18.57,1.43
237,20.00,18.67,1.33
238,20.00,18.80,1.20
239,20.00,18.98,1.02
240,20.00,19.05,0.95
241,20.00,19.14,0.86
242,20.00,19.15,0.85
243,20.00,19.22,0.78
244,20.00,19.30,0.70
245,20.00,19.29,0.71
246,20.00,19.49,0.51
247,20.00,19.61,0.39
249,20.00,19.47,0.53
250,20.00,19.66,0.34
251,20.00,19.72,0.28
252,20.00,19.88,0.12
253,20.00,20.00,0.00
254,20.00,20.03,-0.03
255,20.00,19.91,0.09
256,20.00,19.88,0.12
257,20.00,19.92,0.08
258,20.00,19.96,0.04
259,20.00,20.06,-0.06
260,20.00,20.05,-0.05
261,20.00,20.18,-0.18
263,20.00,20.26,-0.26
264,20.00,20.20,-0.20
265,20.00,20.38,-0.38
